ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
6185377,Yellowknife,62.456,-114.3525,-1.42,51,75,4.12,CA,2021-04-30 01:54:21
5364271,Laguna,38.421,-121.4238,30.3,16,1,3.09,US,2021-04-30 01:52:45
4030556,Rikitea,-23.1203,-134.9692,25.03,63,77,5.74,PF,2021-04-30 01:54:18
3369157,Cape Town,-33.9258,18.4232,12.96,93,0,2.57,ZA,2021-04-30 01:50:17
933649,Khakhea,-24.6895,23.494,16.76,82,62,3.66,BW,2021-04-30 02:04:12
3421765,Nanortalik,60.1432,-45.2371,2.73,84,7,4.46,GL,2021-04-30 01:54:27
2068110,Kununurra,-15.7667,128.7333,32.0,29,0,4.63,AU,2021-04-30 01:59:20
2022572,Khatanga,71.9667,102.5,0.22,97,100,3.17,RU,2021-04-30 01:54:52
1282256,Hithadhoo,-0.6,73.0833,28.63,72,81,2.72,MV,2021-04-30 01:54:45
5367788,Lompoc,34.6391,-120.4579,14.98,77,13,5.66,US,2021-04-30 01:52:24
2075265,Busselton,-33.65,115.3333,14.23,82,9,4.67,AU,2021-04-30 02:04:13
2121385,Severo-Kuril'sk,50.6789,156.125,4.2,79,19,2.87,RU,2021-04-30 02:04:14
1528998,Yumen,40.2833,97.2,22.51,9,14,3.94,CN,2021-04-30 02:04:14
2134814,Sola,-13.8833,167.55,27.53,65,80,9.34,VU,2021-04-30 01:54:43
460413,Daugavpils,55.8833,26.5333,8.19,97,100,4.26,LV,2021-04-30 02:04:15
3874787,Punta Arenas,-53.15,-70.9167,5.78,93,90,4.12,CL,2021-04-30 02:04:15
6454825,Saint-Junien,45.8833,0.9,7.53,100,100,0.88,FR,2021-04-30 02:04:16
1502073,Krasnosel'kup,65.7,82.4667,0.13,97,100,7.28,RU,2021-04-30 02:04:16
5855927,Hilo,19.7297,-155.09,24.47,57,1,3.6,US,2021-04-30 01:50:21
